date,description,amount,category
2024-01-05,AWS Cloud Services,1250.00,Technology
2024-01-08,Office Supplies,89.50,Operations
2024-01-10,Team Lunch,320.00,Entertainment
2024-01-15,Software Licences,499.00,Technology
2024-01-18,Marketing Campaign,5000.00,Marketing
2024-01-20,Office Supplies,45.00,Operations
2024-01-22,Consulting Fee,12000.00,Professional Services
2024-01-25,AWS Cloud Services,980.00,Technology
2024-01-28,Team Lunch,150.00,Entertainment
2024-01-30,Unexpected Transfer,75000.00,Unknown
